first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Wesley,Nelson,1959/11/15,2019/01/05,93,1985,MS,softball,Parker Group
Alyssa,Burns,1965/01/28,2018/04/09,70,2009,GA,softball,Scott and Sons
Richard,Carter,1965/05/22,2018/12/04,89,1986,ME,softball,Keller Group
Jennifer,White,1980/09/18,2018/02/03,75,2013,NM,softball,"Hopkins, Barnes and Ward"
Juan,Dean,1990/01/28,2018/02/12,59,2015,AK,softball,"Mullen, Huffman and Vasquez"
Lisa,Dixon,1978/12/13,2018/07/12,63,2014,OK,softball,Parker Group
Bobby,Johnson,1976/10/17,2018/12/24,87,2004,CA,softball,Hunter Ltd
Dawn,Branch,1984/01/10,2018/07/15,86,1993,HI,softball,Rivera-Morrow
Thomas,Porter,1985/04/20,2018/06/11,44,2009,PA,softball,Parker Group
Anthony,Ingram,1968/07/09,2018/12/22,39,1978,CA,softball,"Mullen, Huffman and Vasquez"
Andrea,Barajas,1961/04/21,2018/04/30,78,2001,MD,softball,"Kelley, Gilbert and Jackson"
Kenneth,Jacobs,1977/10/23,2018/02/11,83,2011,CO,softball,"Martin, Mcknight and Clark"
Jerry,Wells,1997/06/18,2018/04/13,41,2008,TN,softball,Mcdonald Inc
Richard,Davis,1980/01/07,2018/10/11,93,1991,AL,softball,"Kelley, Gilbert and Jackson"
Lisa,Ferguson,1966/06/23,2018/10/10,74,1993,OR,softball,Rivera Ltd
Tiffany,Collins,1960/11/02,2018/06/26,67,2009,ND,softball,"Kelley, Gilbert and Jackson"
Nicholas,Freeman,1962/01/15,2018/09/12,73,2014,IL,softball,"Mullen, Huffman and Vasquez"
Heather,Davis,1987/05/19,2018/03/11,51,2008,WA,softball,Keller Group
Jill,Sanchez,1963/08/02,2018/08/18,93,2018,LA,softball,Rivera-Morrow
Donna,Lee,1997/02/11,2018/07/15,39,1998,TN,softball,Peterson and Sons
Jonathan,Barrera,1971/03/09,2018/03/18,35,2012,CA,softball,"Martin, Mcknight and Clark"
Daniel,Salinas,1981/11/22,2019/01/07,84,2012,CT,softball,Taylor-Alvarez
Kevin,Lamb,1960/05/26,2018/10/01,30,1971,ID,softball,"Jackson, Carlson and Contreras"
Donald,Hanna,1980/08/26,2018/09/30,57,2002,MN,softball,Scott and Sons
Sara,Campbell,1980/09/25,2018/10/04,41,1989,LA,softball,Parker Group
Robert,Nelson,1983/03/08,2018/06/03,96,1985,AZ,softball,Mcdonald Inc
Sara,Smith,1996/02/10,2018/07/02,54,2007,NJ,softball,Peterson and Sons
Tina,Morton,1962/09/06,2018/04/17,36,1991,OK,softball,Taylor-Alvarez
Michael,Fisher,1962/08/12,2018/10/04,57,1981,LA,softball,Rivera Ltd
Brooke,Pacheco,1974/10/23,2018/05/31,60,2010,TN,softball,Peterson and Sons
Brandon,Williams,1975/02/02,2018/09/10,48,1986,OH,softball,Rivera-Morrow
Nicole,Hendrix,1987/02/27,2018/03/19,79,2015,WY,softball,Mcdonald Inc
Timothy,Crane,1987/06/19,2018/12/02,75,1992,FL,softball,Mcdonald Inc
Matthew,Schroeder,1961/02/05,2018/06/07,61,1981,IA,softball,Rivera-Morrow
Randall,Larson,1986/09/13,2018/03/23,37,2007,MS,softball,Pearson Group
Sandra,Nguyen,1990/09/11,2018/03/05,51,2010,WV,softball,"Martin, Mcknight and Clark"
Tracy,Morgan,1979/07/12,2018/05/04,89,1997,LA,softball,Scott and Sons
Kathy,Marks,1959/06/12,2018/03/25,61,1997,TX,softball,Williams-Stephenson
Timothy,Delgado,1982/03/16,2018/04/27,51,1992,DE,softball,"Hopkins, Barnes and Ward"
John,Sanchez,1988/03/06,2018/04/15,59,2004,AL,softball,"Jackson, Carlson and Contreras"
Christina,Jones,1965/04/10,2018/12/01,35,1980,SC,softball,Peterson and Sons
Jennifer,Horton,1976/02/05,2018/07/18,72,1990,AZ,softball,Keller Group
Christopher,Douglas,1964/08/30,2018/04/03,72,2005,UT,softball,Taylor-Alvarez
Norma,Berg,1960/12/09,2018/04/05,63,2007,DE,softball,Rivera-Morrow
Angela,Berry,1972/09/27,2019/01/06,49,1982,MN,softball,Scott and Sons
Ryan,Collins,1980/12/06,2018/04/28,73,1988,WV,softball,Rivera Ltd
Karen,Mcintosh,1959/10/01,2018/05/29,56,2004,MT,softball,"Martin, Mcknight and Clark"
Karen,Smith,1989/08/29,2018/07/16,46,1998,MA,softball,Rivera-Morrow
Brandon,Schroeder,1989/10/17,2018/04/14,63,1997,MN,softball,"Kelley, Gilbert and Jackson"
Taylor,Murphy,1965/09/12,2018/04/14,72,2005,SD,softball,"Brown, Vasquez and Sanchez"
Justin,Medina,1991/05/12,2018/01/14,98,2012,SD,softball,Scott and Sons
Joshua,Smith,1969/08/19,2018/06/03,76,1973,AK,softball,Rivera-Morrow
Kevin,James,1964/01/27,2018/01/11,63,2011,MI,softball,"Mullen, Huffman and Vasquez"
Vanessa,Norris DDS,1967/10/11,2018/03/21,86,2018,FL,softball,Pearson Group
Jeffery,Thomas,1984/11/15,2018/10/05,46,1987,MO,softball,Pearson Group
Emma,Foster,1973/12/01,2018/04/20,82,2003,WI,softball,Peterson and Sons
Karen,Mcfarland,1973/01/07,2018/12/28,57,2004,MT,softball,Keller Group
Mr.,Jeremiah Adams,1960/06/17,2018/06/06,68,1987,RI,softball,Keller Group
Wyatt,Marquez,1989/03/09,2018/07/05,65,2010,VA,softball,Keller Group
Richard,Bowen,1979/07/23,2018/08/20,51,2009,MS,softball,Hunter Ltd
Lisa,Chapman,1976/07/02,2018/06/16,63,1990,LA,softball,Williams-Stephenson
Brenda,Parker,1993/07/31,2018/07/26,81,1999,SC,softball,"Smith, Torres and Matthews"
Ronnie,Copeland,1990/06/08,2018/09/19,35,2007,NV,softball,Williams-Stephenson
Sydney,Coleman,1963/12/17,2018/05/17,84,2011,VA,softball,Pearson Group
Brianna,Kim,1993/03/02,2018/08/18,66,1998,MS,softball,"Hopkins, Barnes and Ward"
Lori,Tyler,1965/12/21,2018/11/03,94,1984,OR,softball,Rivera Ltd
Ryan,Cox,1959/12/17,2018/10/28,95,1995,NC,softball,"Hopkins, Barnes and Ward"
Jerry,Garcia,1992/03/06,2018/10/04,83,1997,GA,softball,Williams-Stephenson
Linda,Gomez,1969/12/12,2018/01/31,72,1990,TN,softball,Taylor-Alvarez
Jerome,King,1963/08/23,2018/01/27,84,2007,WY,softball,Mcdonald Inc
Amy,Lucero,1981/12/30,2018/07/09,45,2006,VT,softball,"Brown, Vasquez and Sanchez"
Jacob,Shelton,1972/01/21,2018/02/06,35,1981,PA,softball,Keller Group
Kelly,Bryant,1987/06/18,2018/11/29,51,2017,MS,softball,Rivera-Morrow
Brandon,Bowers,1961/11/12,2018/07/16,45,1976,AR,softball,"Martin, Mcknight and Clark"
Brian,Anderson,1976/08/18,2019/01/02,69,1984,KS,softball,Rivera Ltd
Brenda,Parsons,1970/02/13,2018/11/30,63,1994,TX,softball,"Hopkins, Barnes and Ward"
Arthur,Rojas,1962/12/26,2018/04/20,75,1976,ME,softball,"Brown, Vasquez and Sanchez"
Zachary,Moon,1970/10/14,2018/12/13,32,1974,OH,softball,Bruce Inc
Jessica,Lopez,1972/07/25,2018/07/06,75,2005,CA,softball,Scott and Sons
Kimberly,Fisher,1980/10/21,2018/06/24,67,2002,HI,softball,"Smith, Torres and Matthews"
Joel,Richardson,1972/08/26,2018/07/31,77,2000,WA,softball,Rivera-Morrow
Rachael,Morgan,1976/03/05,2018/09/26,40,2007,MA,softball,"Hopkins, Barnes and Ward"
Evan,Ramirez,1971/03/05,2018/10/05,93,1982,CA,softball,Hunter Ltd
James,Hendrix,1962/07/21,2018/04/25,30,1999,IL,softball,Scott and Sons
Bethany,Alvarez DDS,1975/02/05,2018/02/26,38,1993,KY,softball,"Mullen, Huffman and Vasquez"
Julia,Sherman,1967/07/17,2018/11/05,86,1975,AL,softball,"Mullen, Huffman and Vasquez"
Jason,Williams,1995/05/22,2018/06/04,50,2006,ME,softball,Mcdonald Inc
Stacy,Townsend,1986/11/04,2018/08/22,58,1994,ND,softball,Rivera-Morrow
Ethan,Watts,1994/10/17,2018/02/28,36,2015,WI,softball,"Alvarez, Schaefer and Robertson"
Hannah,Watts,1982/06/12,2018/04/09,54,2013,MD,softball,Pearson Group
Elizabeth,Rivera,1997/03/27,2018/10/15,90,2015,NE,softball,"Kelley, Gilbert and Jackson"
Donald,Scott,1994/04/11,2018/04/26,81,2006,NH,softball,Rivera Ltd
Michelle,Nguyen,1995/06/27,2018/02/28,59,2006,VT,softball,Taylor-Alvarez
Tanya,Pratt,1992/08/26,2018/02/17,57,2003,MI,softball,"Kelley, Gilbert and Jackson"
Gilbert,Garcia,1974/01/24,2018/01/17,94,2017,VT,softball,"Martin, Mcknight and Clark"
Jennifer,Hampton,1981/07/28,2018/10/05,99,1982,MS,softball,Rivera-Morrow
Ellen,Lutz,1959/10/13,2018/07/13,67,2011,MA,softball,Peterson and Sons
Martha,Smith,1962/08/14,2018/11/05,34,1978,HI,softball,Rivera-Morrow
Rebecca,Snyder,1981/06/07,2018/04/21,47,2002,WI,softball,"Martin, Mcknight and Clark"
Margaret,Daniels,1978/04/25,2018/12/14,78,2011,IA,softball,Scott and Sons
Melissa,Martin,1960/09/24,2018/11/08,82,1996,NH,softball,Bruce Inc
Harry,Arnold,1959/11/12,2018/07/20,71,1980,DE,softball,
Cindy,Park,1960/07/17,2018/04/26,49,2006,CA,softball,Scott and Sons
Allen,Diaz,1976/06/10,2018/02/01,76,1977,OR,softball,Rivera-Morrow
Joseph,Ford,1971/06/18,2018/06/30,96,1984,MD,softball,"Brown, Vasquez and Sanchez"
Frank,Lee,1972/08/05,2018/04/29,30,2002,KS,softball,
Gerald,Sanford,1985/08/04,2018/12/15,40,2009,HI,softball,Parker Group
Sandra,Sutton,1969/11/06,2018/04/27,70,2010,UT,softball,"Hopkins, Barnes and Ward"
Brandon,Smith,1972/10/18,2018/02/11,64,1991,AL,softball,Rivera-Morrow
Jason,Carlson,1995/09/29,2018/06/16,73,2003,AZ,softball,Williams-Stephenson
Jennifer,Rice,1972/04/06,2018/12/29,58,1994,HI,softball,"Mullen, Huffman and Vasquez"
Jennifer,Morgan,1967/07/01,2018/04/26,80,1998,CA,softball,Rivera-Morrow
Bryan,Mueller,1960/04/10,2018/05/10,86,1992,DE,softball,
Matthew,Hobbs,1972/04/29,2018/04/04,81,2003,NJ,softball,"Alvarez, Schaefer and Robertson"
Robert,Smith,1961/12/17,2018/12/27,38,1985,MN,softball,Rivera Ltd
Brianna,Sims,1970/07/23,2018/03/02,93,1975,TN,softball,Parker Group
Michael,Waller,1963/05/17,2018/10/03,57,2004,WI,softball,Rivera Ltd
Misty,Nelson,1995/01/07,2018/09/13,56,2006,AZ,softball,"Smith, Torres and Matthews"
Deanna,Stewart,1966/07/14,2018/10/17,91,2014,RI,softball,Mcdonald Inc
Richard,Bailey,1962/12/02,2018/10/11,34,2009,MD,softball,"Jackson, Carlson and Contreras"
Mikayla,Jackson,1995/10/12,2018/12/03,49,1999,IN,softball,"Mullen, Huffman and Vasquez"
Aaron,Johnson,1997/06/06,2018/10/22,82,2004,ME,softball,
Natalie,Johnson,1969/07/15,2018/03/26,40,1986,NJ,softball,"Hopkins, Barnes and Ward"
Cole,Owens,1991/04/09,2018/07/02,51,1995,CO,softball,"Mullen, Huffman and Vasquez"
Martin,Ellis,1968/07/29,2018/02/26,64,2012,ND,softball,Pearson Group
Nicole,Frye,1965/10/13,2018/05/28,65,1998,ID,softball,Parker Group
Anthony,Marshall,1987/08/13,2018/07/24,95,2001,MT,softball,Taylor-Alvarez
Mr.,Matthew Young,1964/11/04,2018/11/15,41,2014,SC,softball,Keller Group
Vincent,Rogers,1964/04/04,2018/03/28,79,2005,IL,softball,"Brown, Vasquez and Sanchez"
Daniel,Johnson,1982/04/30,2018/06/06,96,1991,WA,softball,"Brown, Vasquez and Sanchez"
Jennifer,Romero,1975/12/26,2018/02/11,85,2015,WY,softball,Peterson and Sons
Amy,Jones,1973/05/29,2018/04/24,45,2005,MI,softball,Williams-Stephenson
Lisa,Thomas,1961/08/17,2018/11/12,42,1981,NV,softball,"Mullen, Huffman and Vasquez"
Jeffrey,Romero,1997/03/03,2018/09/24,50,2010,ID,softball,"Brown, Vasquez and Sanchez"
Thomas,Obrien,1992/07/27,2018/02/07,59,2008,CO,softball,Scott and Sons
Paul,Fernandez,1977/08/15,2018/02/24,59,2000,GA,softball,Mcdonald Inc
Kathleen,Harrington,1994/10/20,2018/12/18,45,2011,UT,softball,Mcdonald Inc
Christian,Diaz,1984/01/31,2018/12/01,62,2007,WI,softball,"Brown, Vasquez and Sanchez"
Samantha,Ross,1969/04/06,2018/08/13,93,1985,GA,softball,Williams-Stephenson
Patrick,Martin,1966/09/13,2018/01/15,50,1977,AK,softball,"Martin, Mcknight and Clark"
Douglas,Hayes,1988/01/06,2018/07/05,61,2015,NY,softball,"Mullen, Huffman and Vasquez"
Marcus,Griffin,1998/12/03,2018/04/02,63,2009,AK,softball,"Jackson, Carlson and Contreras"
Kimberly,Webb,1972/03/17,2018/06/05,79,2000,WA,softball,Pearson Group
Kelly,Ritter,1970/08/31,2018/10/26,97,1981,WA,softball,Peterson and Sons
James,Berry,1966/10/10,2018/03/16,95,1995,OR,softball,"Smith, Torres and Matthews"
Michelle,Villanueva,1991/05/23,2018/10/20,47,2012,FL,softball,Taylor-Alvarez
Brianna,Yang,1971/02/19,2018/11/11,68,1994,NH,softball,"Smith, Torres and Matthews"
Gregory,Payne,1963/03/16,2018/06/15,62,1984,MD,softball,Williams-Stephenson
Christina,Cabrera,1961/09/04,2018/01/27,97,1999,ME,softball,Mcdonald Inc
Anthony,Edwards,1989/12/13,2018/12/04,44,2007,IA,softball,"Brown, Vasquez and Sanchez"
Theresa,Cunningham,1969/07/23,2018/09/01,97,1975,OR,softball,Rivera-Morrow
Casey,Ramirez,1960/05/11,2018/04/17,84,1992,ND,softball,Scott and Sons
Kristin,Hampton,1971/10/07,2018/12/14,63,1987,NM,softball,Mcdonald Inc
Margaret,Knight,1982/04/18,2018/01/29,32,2001,MD,softball,Scott and Sons
Brandon,Lee,1968/03/17,2018/11/14,48,2006,IN,softball,"Hopkins, Barnes and Ward"
Elizabeth,Brown,1960/02/01,2018/07/25,96,1977,MI,softball,Parker Group
Joel,Flores,1989/09/21,2018/10/14,49,1995,AR,softball,Peterson and Sons
Erica,Lopez,1981/05/11,2018/04/24,81,1992,NE,softball,Peterson and Sons
Daniel,Williams,1978/09/21,2018/03/16,71,2013,NJ,softball,Rivera-Morrow
Michael,Morton,1964/09/11,2018/09/15,37,2001,MS,softball,"Alvarez, Schaefer and Robertson"
Timothy,Thomas,1963/01/26,2018/07/09,39,1997,GA,softball,Taylor-Alvarez
Nicholas,Anderson,1980/10/13,2018/12/28,74,2015,UT,softball,"Alvarez, Schaefer and Robertson"
Brandon,Morales,1959/11/16,2018/04/10,30,2002,CT,softball,Bruce Inc
Curtis,Young,1974/11/10,2018/05/15,60,2002,TX,softball,Parker Group
Linda,Rodriguez,1996/05/05,2018/10/28,81,2010,ND,softball,"Hopkins, Barnes and Ward"
Shawn,Mitchell,1974/07/22,2018/01/11,84,1990,CO,softball,"Brown, Vasquez and Sanchez"
Eduardo,Contreras,1963/08/12,2018/09/27,96,1994,OH,softball,Hunter Ltd
Kevin,Thomas,1978/10/27,2018/05/18,35,1990,CT,softball,Scott and Sons
Jacob,Ruiz,1993/08/01,2018/10/02,54,2003,NH,softball,Mcdonald Inc
David,Cortez,1982/05/06,2018/08/14,31,1987,DE,softball,"Jackson, Carlson and Contreras"
Shannon,Barker,1988/03/18,2018/07/18,97,1995,NH,softball,Rivera Ltd
Kent,Bridges,1990/08/15,2018/03/04,71,1996,NH,softball,Bruce Inc
Christopher,Wright,1984/02/23,2018/12/30,49,2001,OH,softball,Pearson Group
Stephanie,Byrd,1997/03/16,2018/06/29,36,2006,NH,softball,"Smith, Torres and Matthews"
Margaret,Perry,1987/12/12,2018/05/13,60,2014,LA,softball,Keller Group
Anthony,Reynolds,1960/11/29,2018/02/11,41,1984,NY,softball,Keller Group
Donna,Levine,1968/09/22,2018/07/02,66,1996,FL,softball,"Smith, Torres and Matthews"
Mary,Simmons,1980/08/28,2018/08/09,74,1993,WA,softball,"Smith, Torres and Matthews"
Brandi,Carpenter,1976/08/22,2018/09/30,47,2016,RI,softball,Bruce Inc
Brian,Brown,1967/03/23,2018/08/21,91,2018,IN,softball,"Jackson, Carlson and Contreras"
Shawn,Peters,1973/02/18,2018/10/06,97,2014,AK,softball,
Catherine,Coffey,1973/12/04,2018/03/17,90,2006,TN,softball,Parker Group
Michael,Riggs,1968/03/21,2018/03/09,43,1986,TN,softball,"Mullen, Huffman and Vasquez"
Jennifer,Edwards,1983/07/16,2018/11/19,46,2006,IN,softball,"Jackson, Carlson and Contreras"
Kimberly,Fernandez,1990/06/19,2018/04/13,99,2003,IL,softball,Mcdonald Inc
Tara,Haley,1984/12/07,2018/09/15,39,2002,PA,softball,"Smith, Torres and Matthews"
Steve,Sullivan,1959/06/02,2018/10/13,95,1991,MS,softball,Peterson and Sons
Susan,Gordon,1971/12/18,2018/06/29,98,1976,NV,softball,"Kelley, Gilbert and Jackson"
Cathy,Wolf,1997/05/15,2018/09/11,81,2007,TX,softball,"Brown, Vasquez and Sanchez"
Robert,Arroyo,1972/03/24,2018/05/02,88,1978,AZ,softball,Williams-Stephenson
Erica,Mata,1962/11/21,2018/09/28,44,1971,ND,softball,Rivera Ltd
Peter,Stephens,1960/10/30,2018/08/20,56,2001,NM,softball,"Jackson, Carlson and Contreras"
Michelle,Marsh,1980/10/10,2018/02/05,57,2009,MA,softball,"Brown, Vasquez and Sanchez"
Tammy,Walker,1961/05/05,2018/03/20,42,2002,AZ,softball,Parker Group
Dr.,Chad Knapp,1977/12/03,2018/10/10,75,1994,MO,softball,Taylor-Alvarez
Ashley,Williams,1986/05/10,2018/06/09,62,1999,KY,softball,Rivera-Morrow
Anthony,Bates,1962/11/16,2018/03/14,37,1993,AL,softball,"Kelley, Gilbert and Jackson"
Lisa,Phillips,1976/02/02,2018/01/14,68,1997,ME,softball,"Smith, Torres and Matthews"
Sara,Fox,1972/05/12,2018/03/21,87,1981,MD,softball,Hunter Ltd
Teresa,Williams,1994/04/28,2018/06/22,56,2017,MI,softball,Hunter Ltd
Stephanie,Johnson,1967/01/23,2018/12/27,40,1981,NJ,softball,"Smith, Torres and Matthews"
Linda,Ford,1973/02/15,2018/11/12,52,1999,UT,softball,Rivera-Morrow
Eugene,West,1990/10/20,2018/01/18,60,2013,MI,softball,Hunter Ltd
Mary,Harris,1974/05/22,2018/06/15,58,2011,NV,softball,"Mullen, Huffman and Vasquez"
Tammy,Rose,1977/01/16,2018/02/15,76,2007,FL,softball,Rivera Ltd
Kevin,Morris,1970/03/13,2018/04/24,34,2000,KS,softball,"Smith, Torres and Matthews"
Miss,Lauren Townsend,1974/08/03,2018/11/27,54,2014,OH,softball,Hunter Ltd
Kim,Howard,1986/03/21,2018/01/19,59,1995,IN,softball,Hunter Ltd
Rachel,Parks,1977/11/18,2018/06/17,36,1996,VT,softball,"Alvarez, Schaefer and Robertson"
Alicia,Ward,1968/11/26,2018/09/16,81,1986,AR,softball,"Smith, Torres and Matthews"
Hector,Mitchell,1974/10/01,2018/01/31,44,2015,MD,softball,"Smith, Torres and Matthews"
Angela,Brown,1987/06/17,2018/07/25,81,2003,NC,softball,"Brown, Vasquez and Sanchez"
Melody,Lopez,1984/07/24,2018/08/02,87,1989,SC,softball,"Martin, Mcknight and Clark"
Dustin,Knapp,1997/10/18,2018/09/10,54,2009,MS,softball,Pearson Group
Christy,Foster,1969/03/27,2018/04/27,61,1970,OK,softball,Hunter Ltd
Sara,Thomas,1966/10/01,2018/08/15,40,2002,IA,softball,Parker Group
Olivia,Haynes,1986/10/23,2018/04/25,77,2009,IA,softball,Scott and Sons
William,Pham,1995/07/23,2018/05/07,35,2014,MN,softball,"Mullen, Huffman and Vasquez"
Shelley,Clark,1970/11/18,2018/12/31,49,2003,WI,softball,"Alvarez, Schaefer and Robertson"
Henry,Lane,1976/02/19,2019/01/09,61,1987,AL,softball,"Brown, Vasquez and Sanchez"
Darren,Carter,1988/08/31,2018/12/25,40,2005,ME,softball,"Brown, Vasquez and Sanchez"
Mark,Miller,1989/05/28,2018/01/18,33,1990,PA,softball,Hunter Ltd
Samuel,Johnson,1977/09/01,2018/02/02,92,1993,VT,softball,Peterson and Sons
Ryan,Collins,1976/11/02,2018/04/23,51,1979,AR,softball,Peterson and Sons
William,Mccoy,1978/01/01,2018/07/06,72,2004,SC,softball,Taylor-Alvarez
William,Garcia,1965/09/15,2018/11/28,89,1992,AZ,softball,"Kelley, Gilbert and Jackson"
Nathan,Pacheco,1987/04/20,2018/04/23,45,1999,VA,softball,Peterson and Sons
Monica,Marshall,1969/03/24,2018/09/09,53,2014,ME,softball,"Hopkins, Barnes and Ward"
Patrick,Mullins,1980/10/24,2018/02/17,73,2011,MN,softball,"Mullen, Huffman and Vasquez"
Kristen,Ross,1991/02/28,2018/11/07,49,2011,SC,softball,"Smith, Torres and Matthews"
Teresa,Griffin MD,1967/03/04,2018/08/08,96,1984,IA,softball,"Jackson, Carlson and Contreras"
Joseph,Robinson,1973/06/21,2018/03/13,42,2006,LA,softball,Hunter Ltd
Mr.,Justin Grimes MD,1978/08/08,2018/04/07,67,1990,NH,softball,"Martin, Mcknight and Clark"
Nicholas,Wood,1967/06/06,2018/10/10,65,2008,WV,softball,Hunter Ltd
Patricia,Molina,1989/03/30,2018/07/19,81,2015,VT,softball,Williams-Stephenson
Rachel,Coleman,1998/12/28,2018/04/17,35,2005,AR,softball,Peterson and Sons
Brandon,Erickson,1995/03/27,2018/08/10,33,2002,ID,softball,Rivera-Morrow
Gerald,Mcgee,1960/05/04,2018/05/28,34,2001,IA,softball,Parker Group
Robin,Thompson,1962/12/12,2018/09/20,83,1999,RI,softball,"Hopkins, Barnes and Ward"
Jeremy,Sanders,1973/11/25,2018/10/16,69,2002,MS,softball,"Martin, Mcknight and Clark"
Sandra,Harris,1988/10/31,2018/03/25,97,1994,MA,softball,Keller Group
Jeffery,Lee,1979/08/06,2018/06/12,58,1985,OR,softball,Hunter Ltd
John,Johnson,1972/02/23,2018/10/10,49,1989,IL,softball,"Hopkins, Barnes and Ward"
Dr.,Erin Vega,1977/08/26,2018/07/10,69,2005,SD,softball,"Jackson, Carlson and Contreras"
Daniel,Serrano,1982/12/22,2018/09/20,98,1990,AR,softball,Parker Group
Stephanie,Paul,1984/02/22,2018/11/13,48,2012,RI,softball,Taylor-Alvarez
Angela,Harrison,1971/11/20,2018/04/27,76,2013,OH,softball,Williams-Stephenson
Brianna,Robinson,1996/03/15,2018/02/09,61,2005,RI,softball,"Brown, Vasquez and Sanchez"
Joshua,Barajas,1989/08/14,2018/03/29,38,2012,OH,softball,Taylor-Alvarez
Kristen,Strong,1994/02/08,2018/09/12,82,1998,GA,softball,Taylor-Alvarez
Samantha,Brown,1972/11/07,2018/05/31,48,2001,MN,softball,"Alvarez, Schaefer and Robertson"
Eric,Hodges,1963/12/21,2018/05/16,83,1998,IL,softball,Scott and Sons
Mr.,Christopher Kline,1976/09/13,2018/03/15,56,1981,MD,softball,Rivera Ltd
Morgan,Willis,1973/07/01,2018/04/05,39,1988,IN,softball,Bruce Inc
James,Erickson,1970/05/17,2018/03/11,35,1986,HI,softball,Williams-Stephenson
Tyler,Hutchinson,1962/04/21,2018/03/25,99,1982,TX,softball,"Hopkins, Barnes and Ward"
Edward,Walker,1993/10/22,2018/02/17,56,2000,NC,softball,"Mullen, Huffman and Vasquez"
Desiree,Smith,1974/05/16,2018/02/20,56,2003,WA,softball,Rivera Ltd
Aaron,Rhodes PhD,1989/12/21,2018/02/21,44,1998,WI,softball,Taylor-Alvarez
Bryan,Garner,1968/10/06,2018/10/19,99,1970,IN,softball,Pearson Group
Michael,Moore,1997/09/11,2018/10/30,97,2015,IN,softball,Keller Group
Debra,Stephens,1960/07/10,2018/03/19,66,1993,ID,softball,Bruce Inc
James,Cook,1968/08/03,2018/08/27,69,1996,VA,softball,"Hopkins, Barnes and Ward"
Michael,Crawford,1965/05/22,2018/01/19,38,2003,NY,softball,Scott and Sons
