first_name,last_name,dob,last_active,score,member_since,state,source,company_name
Donald,Torres,1992/06/02,2018/09/05,80,1980,MD,softball,Hunter Ltd
Emily,Spencer MD,1998/10/16,2018/02/04,70,1980,WA,softball,Parker Group
Theodore,Gray,1998/06/24,2018/09/28,53,1990,LA,softball,"Martin, Mcknight and Clark"
Dennis,Payne,1990/02/20,2018/08/04,56,1979,LA,softball,Bruce Inc
Kristen,Smith,1991/10/20,2018/11/05,73,1970,SC,softball,Keller Group
Lisa,Smith,1981/08/08,2018/06/20,76,1973,IA,softball,Taylor-Alvarez
Samantha,Johnson,1993/05/27,2018/10/30,69,1983,AZ,softball,Parker Group
Jill,Woods,1977/08/02,2018/01/23,99,1977,VT,softball,
Kimberly,Taylor,1983/06/04,2018/02/21,52,1979,ME,softball,Rivera-Morrow
James,Jackson,1982/05/09,2018/06/08,63,1971,MN,softball,Parker Group
Tonya,Miller,1976/04/25,2018/01/16,33,1976,ND,softball,Peterson and Sons
Jennifer,Crane,1985/12/16,2018/03/10,81,1984,MI,softball,Keller Group
Christina,Johnson,1997/09/19,2018/10/20,61,1982,TN,softball,
Michelle,Tate,1994/02/12,2018/06/10,31,1994,TN,softball,Rivera Ltd
Anna,Moore,1996/11/15,2018/11/09,88,1995,UT,softball,Taylor-Alvarez
Judy,Wang,1985/05/23,2018/03/21,81,1970,NE,softball,Williams-Stephenson
Bethany,Massey PhD,1997/02/04,2018/04/05,79,1986,IN,softball,"Mullen, Huffman and Vasquez"
Christina,Branch,1996/09/16,2018/12/05,52,1978,NE,softball,"Kelley, Gilbert and Jackson"
Lisa,Munoz,1993/06/28,2018/02/21,95,1970,ID,softball,"Jackson, Carlson and Contreras"
Luis,Lewis,1994/11/02,2018/05/29,40,1981,KY,softball,Hunter Ltd
Robert,Howard,1993/03/05,2018/11/08,34,1972,NH,softball,Peterson and Sons
Steven,Duke,1997/09/02,2018/04/30,98,1983,MO,softball,Hunter Ltd
Alexandra,Golden,1996/03/19,2018/12/31,36,1980,NE,softball,Keller Group
Kimberly,Ortega,1986/09/18,2018/08/07,78,1979,NH,softball,Rivera Ltd
Jodi,Gomez,1993/08/13,2018/07/18,55,1972,UT,softball,Taylor-Alvarez
Rebecca,Jensen,1989/12/08,2018/12/17,68,1983,AK,softball,"Mullen, Huffman and Vasquez"
Mrs.,Susan Gates,1976/05/01,2018/06/19,94,1973,ID,softball,Parker Group
Brian,Page,1998/10/12,2018/09/11,94,1990,NE,softball,Scott and Sons
Eddie,Mckee,1996/04/04,2018/05/30,64,1983,TX,softball,Williams-Stephenson
John,Bray,1984/07/30,2018/03/11,83,1975,IA,softball,"Jackson, Carlson and Contreras"
Patrick,Roberson,1996/07/28,2018/05/09,98,1986,GA,softball,"Alvarez, Schaefer and Robertson"
Meghan,Daugherty,1993/02/09,2018/12/22,90,1970,NM,softball,"Jackson, Carlson and Contreras"
Laura,Miller,1982/04/15,2018/11/10,66,1981,NM,softball,Keller Group
Eric,Esparza,1982/01/01,2018/02/12,94,1975,MT,softball,"Hopkins, Barnes and Ward"
Alexis,Jones,1998/04/07,2018/07/06,55,1990,MI,softball,Parker Group
Ashley,Phillips,1997/08/01,2018/04/14,98,1996,LA,softball,"Hopkins, Barnes and Ward"
Anna,Hudson,1989/07/15,2018/02/26,42,1987,MO,softball,
Crystal,Martinez,1979/07/01,2018/12/07,93,1977,FL,softball,"Jackson, Carlson and Contreras"
William,Cook,1989/07/22,2018/07/24,66,1970,VT,softball,Parker Group
John,Patton,1982/06/04,2018/02/13,91,1980,OK,softball,Bruce Inc
Jonathan,Bates,1983/12/15,2018/06/17,47,1978,ME,softball,Rivera Ltd
Richard,Brown,1998/01/24,2018/10/04,77,1971,LA,softball,"Mullen, Huffman and Vasquez"
Andrew,Oliver,1989/07/05,2018/12/11,82,1974,VT,softball,Peterson and Sons
Taylor,Vazquez,1978/12/17,2018/10/25,86,1971,WV,softball,"Smith, Torres and Matthews"
Ms.,Denise Jones,1997/07/11,2018/10/28,63,1971,LA,softball,"Kelley, Gilbert and Jackson"
Shelly,Joseph,1988/01/10,2018/05/10,49,1986,RI,softball,
Christopher,Buchanan,1978/04/11,2018/03/26,97,1974,SC,softball,Rivera-Morrow
Samuel,Allen,1995/11/12,2018/06/30,81,1990,TX,softball,"Kelley, Gilbert and Jackson"
Jennifer,Cline,1979/04/13,2018/05/02,88,1974,ND,softball,"Alvarez, Schaefer and Robertson"
Jordan,Jimenez,1992/12/14,2018/03/17,62,1989,VA,softball,"Kelley, Gilbert and Jackson"
Bianca,Clayton,1988/06/04,2018/08/23,88,1973,WA,softball,Rivera-Morrow
Andrew,Lucas,1990/06/27,2018/09/10,68,1973,SD,softball,"Martin, Mcknight and Clark"
Jonathan,Rodriguez,1995/10/26,2018/03/17,88,1973,PA,softball,Keller Group
Tina,Spears,1996/06/27,2018/09/26,96,1982,AR,softball,Pearson Group
David,Kennedy,1978/10/05,2018/05/03,86,1977,NC,softball,Mcdonald Inc
Eddie,Jackson,1992/07/18,2018/06/02,68,1988,NH,softball,Hunter Ltd
Michael,Mitchell,1995/07/18,2018/01/21,84,1972,MI,softball,"Jackson, Carlson and Contreras"
Courtney,Brown,1994/02/17,2018/12/14,32,1975,ID,softball,Rivera-Morrow
Daniel,Hancock,1997/03/02,2018/08/09,48,1972,MI,softball,"Mullen, Huffman and Vasquez"
Joshua,Bartlett,1994/12/26,2018/01/28,59,1970,SD,softball,Peterson and Sons
Ariana,Robbins,1988/01/13,2018/02/02,94,1970,MN,softball,"Jackson, Carlson and Contreras"
Brian,Stephenson,1996/09/05,2018/11/14,39,1978,KY,softball,"Hopkins, Barnes and Ward"
Angela,Erickson,1986/06/13,2018/05/09,54,1981,MN,softball,Rivera-Morrow
Morgan,Spencer,1996/10/01,2018/05/23,81,1985,WY,softball,Rivera-Morrow
Rhonda,Sanchez,1997/04/10,2018/09/16,89,1976,MT,softball,Keller Group
Nicholas,Price,1993/04/02,2018/06/19,40,1988,AR,softball,"Kelley, Gilbert and Jackson"
Dominic,Martin,1997/03/27,2018/03/15,46,1992,WY,softball,"Hopkins, Barnes and Ward"
Christina,Franco,1997/09/13,2018/12/13,62,1970,TX,softball,Scott and Sons
Nicole,Williams,1997/06/27,2018/07/20,56,1985,MS,softball,"Alvarez, Schaefer and Robertson"
Kelsey,Brooks,1987/03/01,2018/08/03,34,1976,NV,softball,Bruce Inc
Robert,Pugh MD,1998/09/19,2018/06/26,33,1995,LA,softball,"Hopkins, Barnes and Ward"
Kimberly,Williams,1977/09/28,2018/10/26,66,1971,UT,softball,Williams-Stephenson
Joe,Salinas,1988/03/02,2018/11/02,64,1988,MN,softball,Keller Group
Jessica,Cabrera,1981/04/17,2018/12/31,38,1977,IA,softball,Rivera Ltd
Kerri,Bates,1989/11/10,2018/04/06,62,1980,NE,softball,Keller Group
Tammy,Adams,1989/11/04,2018/09/30,79,1979,MT,softball,"Smith, Torres and Matthews"
Luis,Walker,1998/07/26,2018/01/13,87,1981,NC,softball,Rivera Ltd
William,Lee,1989/03/01,2018/04/04,48,1987,VT,softball,"Kelley, Gilbert and Jackson"
Daniel,Williams,1990/03/06,2018/05/25,66,1985,ID,softball,
Rachel,Johnson,1982/09/16,2018/09/11,65,1977,SC,softball,"Hopkins, Barnes and Ward"
Vincent,Mcbride,1990/06/09,2018/08/06,80,1976,OH,softball,Peterson and Sons
Thomas,Murphy,1995/03/19,2018/02/02,69,1983,SD,softball,"Hopkins, Barnes and Ward"
Ronald,Wright,1988/07/20,2018/12/13,99,1972,NM,softball,"Kelley, Gilbert and Jackson"
Mary,James,1987/02/12,2018/02/11,50,1971,KS,softball,"Hopkins, Barnes and Ward"
Joseph,Frank,1998/11/23,2018/07/01,49,1983,NE,softball,Pearson Group
Amy,Ryan,1992/04/08,2018/10/01,36,1975,OR,softball,Pearson Group
Kimberly,Green,1997/10/14,2018/01/20,46,1986,MO,softball,Rivera Ltd
Joshua,Gay,1983/10/16,2018/02/11,86,1978,MI,softball,"Martin, Mcknight and Clark"
Eric,Sanchez,1982/04/05,2018/04/24,40,1980,AZ,softball,"Brown, Vasquez and Sanchez"
Jennifer,Petersen,1995/12/27,2018/12/22,88,1978,MD,softball,"Jackson, Carlson and Contreras"
Teresa,Torres,1997/10/24,2018/09/07,61,1971,NV,softball,Bruce Inc
Anna,Fitzpatrick,1993/11/16,2018/07/24,96,1975,ID,softball,"Mullen, Huffman and Vasquez"
Vickie,Carter,1990/05/30,2018/09/07,80,1970,CA,softball,Taylor-Alvarez
Kaitlyn,Simmons,1996/12/21,2018/07/08,48,1989,SC,softball,"Brown, Vasquez and Sanchez"
Amber,Houston,1992/05/19,2018/05/27,57,1989,MI,softball,Rivera-Morrow
Jamie,Lawrence,1997/03/17,2018/03/15,31,1994,WI,softball,"Mullen, Huffman and Vasquez"
Lisa,Hutchinson,1977/11/07,2018/08/21,84,1974,MA,softball,"Hopkins, Barnes and Ward"
Lori,Jacobs,1981/08/28,2018/08/01,56,1973,IL,softball,Williams-Stephenson
Stephen,Bean,1990/08/07,2018/07/20,39,1978,WY,softball,Peterson and Sons
Michael,Strickland,1989/12/29,2018/03/13,87,1985,NE,softball,Bruce Inc
Paula,Fernandez,1993/11/13,2018/03/14,76,1981,AK,softball,"Martin, Mcknight and Clark"
Jessica,Morgan,1977/02/24,2018/09/17,79,1972,AZ,softball,Peterson and Sons
Tammy,Martinez,1997/01/03,2019/01/08,65,1976,IA,softball,Taylor-Alvarez
Chelsey,Martin,1997/01/29,2018/09/14,66,1990,GA,softball,Scott and Sons
Ross,Williamson,1980/10/30,2018/01/22,56,1980,NJ,softball,"Brown, Vasquez and Sanchez"
Ellen,Sheppard,1992/10/15,2018/02/21,32,1984,WV,softball,Parker Group
Brenda,Vaughn,1994/03/03,2018/08/15,37,1992,NJ,softball,"Martin, Mcknight and Clark"
Michael,Price,1974/06/13,2018/07/16,66,1970,UT,softball,Pearson Group
Sally,Alvarez,1979/12/21,2018/04/23,52,1974,IL,softball,Taylor-Alvarez
Wesley,Reed,1998/02/19,2018/03/30,66,1988,ME,softball,"Alvarez, Schaefer and Robertson"
Austin,Hicks,1994/04/05,2018/03/17,76,1972,AR,softball,Taylor-Alvarez
Linda,Conner,1990/04/15,2018/05/07,86,1971,MO,softball,Keller Group
Hannah,Jefferson,1996/05/02,2018/11/08,40,1977,NC,softball,"Mullen, Huffman and Vasquez"
James,Murphy,1993/04/16,2018/08/03,49,1974,GA,softball,"Mullen, Huffman and Vasquez"
Brandon,Yoder,1993/02/02,2018/11/17,30,1980,UT,softball,Williams-Stephenson
Mary,Lynch,1990/03/25,2018/12/22,52,1977,OH,softball,"Brown, Vasquez and Sanchez"
Christine,Young,1994/03/01,2019/01/08,85,1986,NJ,softball,
Derek,Atkinson,1998/07/31,2018/09/14,60,1976,TX,softball,"Martin, Mcknight and Clark"
Cody,Short,1991/08/26,2019/01/06,55,1982,NH,softball,Peterson and Sons
Christopher,Huber,1990/06/07,2018/12/19,91,1990,VA,softball,"Brown, Vasquez and Sanchez"
Christopher,Ramirez,1992/05/17,2018/12/17,61,1989,WI,softball,Bruce Inc
Amanda,Hunt,1998/03/24,2018/11/10,52,1991,RI,softball,Rivera Ltd
Nathan,Bailey,1993/03/04,2018/04/20,72,1971,RI,softball,Taylor-Alvarez
Samuel,Allen,1989/03/10,2018/05/29,65,1976,VA,softball,Peterson and Sons
Brenda,Colon,1998/08/01,2018/11/24,69,1983,NC,softball,Rivera-Morrow
Marcus,Kennedy,1983/03/25,2018/10/02,81,1972,OR,softball,Scott and Sons
Pamela,Schmidt,1982/09/11,2018/05/30,93,1980,MA,softball,"Hopkins, Barnes and Ward"
Robert,Middleton,1996/08/22,2018/09/13,41,1982,ID,softball,"Alvarez, Schaefer and Robertson"
Jesse,Alvarez,1981/05/22,2018/01/20,62,1981,ND,softball,Hunter Ltd
Mary,Duffy,1971/04/18,2018/09/10,60,1971,VA,softball,"Alvarez, Schaefer and Robertson"
Christopher,Lopez,1994/07/09,2018/08/13,31,1984,ME,softball,Scott and Sons
Angel,Frederick DDS,1994/05/03,2018/07/17,68,1973,RI,softball,"Alvarez, Schaefer and Robertson"
Rhonda,Peterson,1986/04/22,2018/12/16,71,1975,NV,softball,Williams-Stephenson
Robert,Simpson,1978/08/09,2018/11/09,59,1975,NE,softball,
Veronica,Beck,1991/06/29,2018/03/31,33,1989,NM,softball,Keller Group
Tyler,Moore,1982/04/26,2018/09/04,47,1977,CO,softball,Keller Group
Justin,Hall,1980/08/26,2018/08/30,49,1972,AL,softball,Rivera Ltd
Beth,Martin,1992/01/04,2018/08/18,85,1992,NY,softball,Scott and Sons
Andrea,Montgomery,1990/12/10,2018/05/11,93,1990,IN,softball,Taylor-Alvarez
Brianna,Stevens,1997/11/24,2018/01/11,31,1977,WA,softball,"Hopkins, Barnes and Ward"
Monica,Rogers,1994/11/04,2018/09/06,39,1991,CT,softball,Rivera Ltd
Paula,Smith,1997/01/19,2018/02/06,56,1981,NH,softball,"Jackson, Carlson and Contreras"
Caroline,Hopkins,1983/03/15,2018/10/21,49,1983,NE,softball,Hunter Ltd
Billy,Montgomery,1992/10/06,2018/02/20,91,1991,IL,softball,Williams-Stephenson
Joseph,Martin,1991/03/16,2018/01/14,86,1974,NH,softball,"Mullen, Huffman and Vasquez"
Bryan,Harrison,1989/06/30,2018/11/10,94,1985,CT,softball,"Brown, Vasquez and Sanchez"
Taylor,May,1982/11/18,2018/02/05,86,1978,NH,softball,
Christine,Harrison,1996/09/10,2018/08/25,80,1976,FL,softball,
Adrian,Nelson,1972/08/03,2018/08/18,42,1971,WV,softball,"Hopkins, Barnes and Ward"
Brenda,Garza,1998/03/24,2018/06/17,86,1988,UT,softball,Peterson and Sons
Justin,Ferrell,1987/10/28,2018/07/01,70,1981,KY,softball,Keller Group
Jason,Dougherty,1998/09/05,2018/05/16,34,1994,DE,softball,Parker Group
Vanessa,Rosales,1997/09/12,2018/03/10,56,1985,FL,softball,Bruce Inc
Brenda,Morton,1993/03/30,2018/01/28,62,1977,NJ,softball,Keller Group
John,Murphy,1994/08/11,2018/04/15,38,1985,WA,softball,Scott and Sons
Peter,Chan,1980/03/25,2018/12/24,68,1977,NC,softball,"Mullen, Huffman and Vasquez"
Andrew,Taylor,1990/02/14,2018/07/31,83,1981,NC,softball,"Jackson, Carlson and Contreras"
Tommy,Rodriguez,1996/06/17,2018/02/02,80,1990,SD,softball,"Martin, Mcknight and Clark"
Lorraine,Martin,1993/05/22,2018/08/20,38,1974,NC,softball,
Russell,Grant,1979/06/15,2018/07/10,54,1976,MA,softball,"Hopkins, Barnes and Ward"
Gregory,Foster,1985/01/27,2018/12/31,51,1982,AZ,softball,"Kelley, Gilbert and Jackson"
Karen,Smith,1994/08/06,2018/07/03,59,1988,DE,softball,"Mullen, Huffman and Vasquez"
Jeffrey,Crawford,1991/11/30,2018/08/26,78,1979,LA,softball,"Brown, Vasquez and Sanchez"
Franklin,Martinez,1996/03/03,2018/06/14,91,1973,HI,softball,Williams-Stephenson
Ashley,Scott,1993/03/09,2018/11/02,30,1978,WI,softball,Hunter Ltd
John,Gilbert,1996/06/19,2018/08/04,69,1995,NM,softball,"Mullen, Huffman and Vasquez"
Justin,Jones,1980/03/11,2018/04/28,60,1980,ID,softball,Bruce Inc
Christine,Fowler,1981/10/31,2018/10/04,99,1977,MT,softball,"Smith, Torres and Matthews"
Brian,Vasquez,1997/02/07,2018/08/21,62,1996,NH,softball,"Mullen, Huffman and Vasquez"
Theresa,Hernandez,1980/06/21,2018/05/18,93,1977,UT,softball,"Alvarez, Schaefer and Robertson"
James,Jackson,1981/03/01,2018/09/18,76,1980,LA,softball,Bruce Inc
Deborah,Mccall,1980/12/13,2018/01/19,58,1975,CT,softball,Mcdonald Inc
Nicole,Cox,1996/05/27,2018/01/22,35,1995,VA,softball,Hunter Ltd
Robert,Johnson,1991/04/20,2018/08/01,39,1979,PA,softball,Parker Group
Trevor,Mcmahon,1982/01/26,2018/05/16,79,1975,NH,softball,Hunter Ltd
Dana,Martinez,1994/05/22,2018/03/21,78,1978,WV,softball,Pearson Group
Michelle,Foster,1987/07/15,2018/08/22,80,1973,WY,softball,Keller Group
Joseph,Cooper,1982/11/27,2018/08/18,75,1970,HI,softball,"Martin, Mcknight and Clark"
Jennifer,Paul,1995/10/27,2018/05/21,69,1976,NM,softball,Hunter Ltd
Michael,Murray,1997/04/25,2018/11/20,99,1970,AZ,softball,"Smith, Torres and Matthews"
Paula,Jackson,1993/11/19,2019/01/01,33,1986,NJ,softball,Williams-Stephenson
Brett,Hickman,1989/09/21,2018/09/05,80,1976,OR,softball,"Smith, Torres and Matthews"
Breanna,Smith,1979/01/18,2019/01/09,68,1979,WA,softball,Rivera-Morrow
Charles,Miller,1984/01/16,2018/09/21,70,1978,SC,softball,
Michael,Castillo,1981/12/20,2018/04/09,67,1974,MT,softball,Peterson and Sons
Eric,Clark,1993/07/23,2018/04/09,41,1993,ND,softball,Keller Group
Steven,Scott,1994/11/15,2018/08/03,85,1975,MS,softball,Pearson Group
Thomas,Harvey,1993/09/27,2018/02/04,91,1991,FL,softball,
Bruce,Graham,1997/10/09,2018/09/14,94,1992,SC,softball,Rivera Ltd
Joe,Logan,1986/11/12,2018/09/18,78,1985,UT,softball,Bruce Inc
Cheryl,Mckay,1983/09/19,2018/09/28,95,1982,OH,softball,Keller Group
Richard,Johnson,1984/01/20,2018/01/23,38,1972,NY,softball,
Keith,Barker,1977/02/07,2018/02/10,30,1971,SC,softball,"Alvarez, Schaefer and Robertson"
Mr.,Steven Soto,1992/10/17,2018/05/20,65,1991,WV,softball,Scott and Sons
Mrs.,Ashley Parks,1980/01/28,2018/08/19,34,1979,AL,softball,Rivera Ltd
Robert,Johnson,1981/09/04,2018/10/04,46,1972,MO,softball,Bruce Inc
Deborah,Williams,1982/10/10,2018/02/03,36,1974,VA,softball,
Jay,Stark,1983/12/21,2018/07/23,66,1971,TX,softball,"Hopkins, Barnes and Ward"
Maurice,Short,1997/07/05,2018/08/03,34,1982,AZ,softball,"Jackson, Carlson and Contreras"
Elijah,Jefferson,1992/12/23,2018/06/24,58,1977,AR,softball,
Laura,Lee,1977/12/14,2018/04/10,34,1971,HI,softball,Williams-Stephenson
Sharon,Smith,1988/04/30,2018/06/06,64,1980,AZ,softball,Hunter Ltd
Cody,Wilcox,1991/03/10,2018/10/15,62,1972,TX,softball,Parker Group
Karen,James,1978/12/24,2018/08/03,93,1971,KS,softball,"Smith, Torres and Matthews"
Christopher,Richardson,1979/05/12,2018/04/16,60,1972,MA,softball,Rivera Ltd
Albert,Maldonado,1989/01/04,2018/03/14,53,1976,WA,softball,"Martin, Mcknight and Clark"
Kathleen,Fernandez,1989/05/24,2018/08/08,97,1975,AZ,softball,"Mullen, Huffman and Vasquez"
Dylan,Baxter,1994/09/26,2018/12/12,52,1989,WY,softball,"Kelley, Gilbert and Jackson"
Christopher,Coffey,1989/12/30,2018/01/31,67,1976,IA,softball,"Brown, Vasquez and Sanchez"
Heather,Jones DDS,1986/05/29,2018/11/18,85,1985,PA,softball,Williams-Stephenson
Lucas,Scott,1997/08/04,2018/08/14,69,1986,AZ,softball,Hunter Ltd
Noah,Perez,1989/05/05,2018/07/05,72,1977,NC,softball,Peterson and Sons
Virginia,Braun,1980/04/22,2018/09/29,73,1973,SD,softball,Bruce Inc
Angela,Gilbert,1994/11/20,2019/01/05,42,1988,DE,softball,Rivera Ltd
Vincent,Figueroa,1982/02/08,2018/05/17,58,1977,IN,softball,Pearson Group
Jeff,Jones,1994/07/23,2018/07/13,45,1992,MI,softball,Hunter Ltd
Melissa,Miller,1994/08/13,2018/02/05,52,1988,NM,softball,"Brown, Vasquez and Sanchez"
Joan,Davis,1997/11/23,2018/06/30,93,1978,IA,softball,Hunter Ltd
Joseph,Smith,1994/02/01,2018/02/23,73,1970,PA,softball,"Brown, Vasquez and Sanchez"
Jeffrey,West,1986/05/17,2018/03/06,99,1977,GA,softball,Bruce Inc
Jay,Jackson,1998/11/17,2018/08/29,97,1989,TN,softball,Peterson and Sons
James,Adkins,1977/06/08,2018/01/13,74,1976,VA,softball,Williams-Stephenson
Nancy,Dixon,1998/11/18,2018/09/11,39,1971,AR,softball,"Smith, Torres and Matthews"
Dorothy,Mckinney,1985/06/26,2018/12/24,60,1983,OH,softball,Peterson and Sons
Krystal,Thompson,1979/03/17,2018/05/19,69,1970,NJ,softball,Keller Group
Veronica,Lindsey,1986/10/19,2018/03/21,93,1975,GA,softball,Bruce Inc
Kelly,Russell,1986/12/20,2018/11/24,54,1983,ID,softball,Parker Group
Matthew,Reynolds,1988/03/18,2018/05/25,56,1983,VA,softball,Williams-Stephenson
Ronald,Copeland,1984/10/04,2018/11/19,44,1971,AL,softball,Mcdonald Inc
Tammy,Ho,1997/04/25,2018/07/30,49,1997,WA,softball,Rivera-Morrow
Emily,Sosa,1983/11/08,2018/05/06,40,1977,ID,softball,
Kevin,Taylor,1997/04/19,2018/11/16,91,1971,NY,softball,
Jason,Cervantes,1986/09/28,2018/11/21,46,1985,OK,softball,Keller Group
Timothy,Zimmerman,1996/04/11,2018/06/22,72,1975,SC,softball,Pearson Group
Steven,Kaiser,1995/02/23,2018/07/22,48,1982,AK,softball,"Jackson, Carlson and Contreras"
Ryan,Brooks,1992/01/16,2018/03/14,34,1988,DE,softball,Pearson Group
Caitlyn,Kennedy,1987/10/14,2018/11/01,77,1971,MD,softball,Parker Group
Maria,Brown,1978/04/16,2018/06/25,42,1973,AZ,softball,Keller Group
Marisa,Moore,1993/02/22,2018/09/03,99,1971,VA,softball,Peterson and Sons
Johnny,Dyer,1987/02/17,2018/12/30,54,1985,LA,softball,
Scott,Calhoun,1991/01/05,2018/09/26,68,1972,OK,softball,Parker Group
Carolyn,Douglas,1980/04/20,2018/01/19,87,1980,MA,softball,Bruce Inc
Johnathan,Riley,1987/10/10,2018/02/24,72,1978,WA,softball,"Alvarez, Schaefer and Robertson"
Jesus,Watson,1988/11/05,2018/06/06,52,1985,AZ,softball,"Kelley, Gilbert and Jackson"
Nancy,King,1995/01/12,2018/01/26,61,1976,KS,softball,Mcdonald Inc
Barbara,Flores,1985/03/10,2018/03/08,56,1982,NJ,softball,"Smith, Torres and Matthews"
David,Carlson,1995/05/15,2018/10/25,72,1972,MN,softball,"Martin, Mcknight and Clark"
Kenneth,Williams,1984/12/23,2018/08/26,34,1977,WV,softball,Keller Group
Troy,Noble,1990/10/10,2018/12/13,65,1978,AR,softball,Keller Group
Victoria,Villa,1990/06/18,2018/03/12,37,1985,ND,softball,"Brown, Vasquez and Sanchez"
Timothy,Jones,1998/05/09,2018/06/22,99,1978,LA,softball,Mcdonald Inc
Dr.,Joy Nixon,1983/01/08,2018/08/02,84,1979,NH,softball,"Martin, Mcknight and Clark"
Patrick,Harris,1997/10/01,2018/01/09,85,1976,OK,softball,"Alvarez, Schaefer and Robertson"
